row_index,timestampIso,cursorReportedTokens,user_char_len,assistant_char_len,tiktoken_user,tiktoken_assistant,tiktoken_sum,naive_char_baseline_tokens,baseline_heuristic_total,linesAdded,linesRemoved,linesTotalAbs,filesChangedCount,grepContextFileCount,readContextFileCount,filesReadCount,filesTouched_count,log1p_tiktoken_sum,graph_node_count,graph_edge_count,graph_avg_out_degree,graph_reachable_2hop,char_heuristic_user_tokens,graph_node_count_at_log_time,llm_likely_files_count
1,2026-04-03T12:14:06.313303Z,50000,119,1023,47,514,561,286,87,0,0,0,0,0,0,0,0,6.331501849893691,29,32,1.103448275862069,0,38,,0
2,2026-04-03T12:30:23.072170Z,232000,107,742,34,414,448,213,63,43,4,47,4,0,0,0,1,6.1070228877422545,29,32,1.103448275862069,0,32,,0
3,2026-04-03T12:42:05.564306Z,522000,65,728,59,513,572,199,109,100,31,131,2,2,2,4,0,6.35088571671474,29,32,1.103448275862069,0,35,,0
4,2026-04-03T13:04:25.780670Z,505000,17,487,16,378,394,126,30,89,24,113,1,0,1,1,0,5.978885764901122,29,32,1.103448275862069,0,9,,0
5,2026-04-03T13:08:48.888155Z,106000,18,863,17,635,652,221,31,0,0,0,0,0,0,0,0,6.481577129276431,29,32,1.103448275862069,0,11,,0
6,2026-04-03T13:14:35.111755Z,431000,17,892,14,460,474,228,26,0,0,0,0,2,2,4,0,6.163314804034641,29,32,1.103448275862069,0,8,,0
7,2026-04-03T13:30:08.392658Z,111000,113,1245,41,788,829,340,76,0,0,0,0,0,0,0,0,6.721425700790643,29,32,1.103448275862069,0,36,,0
8,2026-04-03T13:31:51.271964Z,690000,2,666,1,381,382,167,2,26,3,29,0,1,1,2,0,5.948034989180646,29,32,1.103448275862069,0,1,,0
9,2026-04-03T13:35:11.572786Z,118000,17,964,11,618,629,246,20,0,0,0,0,0,0,0,0,6.4457198193855785,29,32,1.103448275862069,0,8,,0
10,2026-04-03T14:21:42.315410Z,119000,109,1044,41,474,515,289,76,0,0,0,0,0,0,0,0,6.246106765481563,29,32,1.103448275862069,0,35,,0
11,2026-04-03T14:26:58.718776Z,121000,43,845,26,456,482,222,48,0,0,0,0,0,0,0,0,6.180016653652572,29,32,1.103448275862069,0,17,,0
12,2026-04-03T15:06:25.080650Z,139000,31,943,25,682,707,244,46,0,0,0,0,0,0,0,0,6.56244409369372,29,32,1.103448275862069,0,16,,0
13,2026-04-03T15:06:59.959805Z,138000,24,753,29,605,634,195,54,0,0,0,0,0,0,0,0,6.453624998892692,29,32,1.103448275862069,0,13,,0
14,2026-04-03T15:07:24.972276Z,136000,35,487,38,395,433,131,70,0,0,0,0,0,0,0,0,6.073044534100405,29,32,1.103448275862069,0,21,,0
15,2026-04-03T15:09:02.488712Z,1174000,78,998,61,607,668,269,113,172,50,222,3,5,5,10,0,6.505784060128229,29,32,1.103448275862069,0,39,,0
16,2026-04-04T02:43:58.421392Z,306000,124,1456,44,976,1020,395,81,0,0,0,0,0,2,2,0,6.928537818164665,29,32,1.103448275862069,0,41,,0
17,2026-04-04T02:45:01.716305Z,93000,62,1220,54,821,875,321,100,0,0,0,0,0,2,2,0,6.775366090936392,29,32,1.103448275862069,0,32,,0
18,2026-04-04T02:46:30.336232Z,723000,53,755,18,369,387,202,33,3,2,5,1,1,1,2,0,5.961005339623274,29,32,1.103448275862069,0,19,,0
19,2026-04-04T02:51:28.142320Z,168000,79,1762,83,1321,1404,461,154,0,0,0,0,0,0,0,0,7.247792581767846,29,32,1.103448275862069,0,45,,0
20,2026-04-04T02:57:48.100965Z,2226000,32,2257,5,639,644,573,9,590,21,611,11,0,18,18,0,6.4692503167957724,29,32,1.103448275862069,0,10,,0
21,2026-04-04T02:59:46.966234Z,48000,29,1077,28,664,692,277,52,0,0,0,0,0,0,0,0,6.541029999189903,29,32,1.103448275862069,0,17,,0
22,2026-04-04T03:14:02.309989Z,49000,113,1113,41,571,612,307,76,0,0,0,0,0,0,0,0,6.418364935936212,29,32,1.103448275862069,0,36,,0
23,2026-04-04T03:17:28.591168Z,50000,103,761,38,545,583,216,70,0,0,0,0,0,0,0,0,6.369900982828227,29,32,1.103448275862069,0,35,,0
24,2026-04-04T03:18:29.740371Z,51000,117,661,45,461,506,195,83,0,0,0,0,0,0,0,0,6.2285110035911835,29,32,1.103448275862069,0,38,,0
25,2026-04-04T03:22:24.749645Z,96000,12,1841,15,1298,1313,464,28,0,0,0,0,2,2,4,0,7.1808311990445555,29,32,1.103448275862069,0,7,,0
26,2026-04-04T03:28:08.284398Z,545000,27,1446,15,642,657,369,28,260,35,295,4,7,8,15,0,6.489204931325317,29,32,1.103448275862069,0,12,,0
27,2026-04-04T03:47:36.532009Z,55000,21,1578,19,1064,1083,400,35,0,0,0,0,0,0,0,0,6.988413181999592,29,32,1.103448275862069,0,12,,0
28,2026-04-04T03:48:04.444125Z,54000,43,772,41,689,730,204,76,0,0,0,0,0,0,0,0,6.594413459749778,29,32,1.103448275862069,0,25,,0
29,2026-04-04T03:48:32.343620Z,53000,23,539,27,502,529,141,50,0,0,0,0,0,0,0,0,6.272877006546167,29,32,1.103448275862069,0,13,,0
30,2026-04-04T03:49:04.192949Z,52000,46,594,31,485,516,160,57,0,0,0,0,0,0,0,0,6.248042874508429,29,32,1.103448275862069,0,21,,0
31,2026-04-04T03:49:50.733941Z,52000,42,1179,46,988,1034,306,85,0,0,0,0,0,0,0,0,6.942156705699469,29,32,1.103448275862069,0,23,,0
32,2026-04-04T03:50:15.716325Z,51000,16,403,19,295,314,105,35,0,0,0,0,0,0,0,0,5.752572638825633,29,32,1.103448275862069,0,9,,0
33,2026-04-04T04:20:51.390820Z,798000,53,1139,44,447,491,298,81,287,6,293,3,0,3,3,0,6.198478716492308,29,32,1.103448275862069,0,27,,0
34,2026-04-04T04:51:13.180243Z,82000,6,563,8,266,274,143,15,0,0,0,0,0,0,0,0,5.616771097666572,29,32,1.103448275862069,0,4,,0
35,2026-04-04T04:52:50.424539Z,323000,5,658,5,344,349,166,9,2,3,5,1,1,1,2,0,5.857933154483459,29,32,1.103448275862069,0,3,,0
36,2026-04-04T04:53:16.124155Z,81000,134,659,46,307,353,199,85,0,0,0,0,0,0,0,0,5.869296913133774,29,32,1.103448275862069,0,45,,0
37,2026-04-04T04:55:28.582138Z,77000,8,288,10,130,140,74,19,0,0,0,0,0,0,0,0,4.948759890378168,29,32,1.103448275862069,0,5,,0
38,2026-04-04T05:03:54.023048Z,83000,13,482,17,387,404,124,31,0,0,0,0,0,0,0,0,6.003887067106539,29,32,1.103448275862069,0,8,,0
39,2026-04-04T05:06:04.790925Z,170000,31,1472,29,973,1002,376,54,0,0,0,0,0,3,3,0,6.910750787961936,29,32,1.103448275862069,0,18,,0
40,2026-04-04T05:06:39.056911Z,88000,69,1514,65,1108,1173,396,120,0,0,0,0,0,0,0,0,7.068172000388042,29,32,1.103448275862069,0,41,,0
41,2026-04-04T05:17:50.629628Z,1585000,41,1471,42,650,692,378,78,422,20,442,4,0,4,4,0,6.541029999189903,29,32,1.103448275862069,0,23,,0
42,2026-04-04T11:55:46.848951Z,270000,15,341,7,227,234,89,13,43,11,54,1,0,2,2,0,5.459585514144159,29,32,1.103448275862069,0,6,,0
43,2026-04-04T11:57:03.173464Z,192000,17,398,10,221,231,104,19,20,11,31,0,0,1,1,0,5.44673737166631,29,32,1.103448275862069,0,8,,0
44,2026-04-04T11:58:24.998272Z,237000,16,554,7,296,303,143,13,53,3,56,1,0,1,1,0,5.717027701406222,29,32,1.103448275862069,0,7,,0
45,2026-04-04T11:59:29.723499Z,161000,37,669,35,494,529,177,65,76,5,81,1,0,1,1,0,6.272877006546167,29,32,1.103448275862069,0,19,,0
46,2026-04-04T12:00:40.735583Z,124000,23,495,28,373,401,130,52,49,12,61,1,0,1,1,0,5.996452088619021,29,32,1.103448275862069,0,14,,0
47,2026-04-04T12:26:43.669088Z,144000,19,613,20,421,441,158,37,25,14,39,1,0,1,1,0,6.091309882077698,29,32,1.103448275862069,0,11,,0
48,2026-04-04T12:28:16.331357Z,99000,7,408,7,278,285,104,13,14,3,17,1,0,0,0,0,5.655991810819852,29,32,1.103448275862069,0,4,,0
49,2026-04-04T12:31:59.392880Z,114000,18,1246,20,688,708,316,37,42,3,45,2,0,4,4,0,6.5638555265321274,29,32,1.103448275862069,0,11,,0
